,median_gross_rent,median_rent_burden_pct,median_household_income,vehicle_access_pct,transit_stop_count,scheduled_trip_count,median_transit_distance_m,median_network_transit_distance_m,food_access_beyond_half_mile_straight_share,food_access_beyond_half_mile_network_share
median_gross_rent,1.0,0.286922739215749,0.09208281955323677,0.0048549301254556905,0.18754833531818216,0.2901192291384459,-0.3905363347995791,-0.3138862655018146,-0.2352685929744723,-0.09194497701939411
median_rent_burden_pct,0.286922739215749,1.0,-0.7283121687241583,-0.6967823041978713,0.21316128633732997,0.5680890974136887,-0.4101217846435865,-0.4531066669744335,-0.7492531835980345,-0.7114450568624536
median_household_income,0.09208281955323677,-0.7283121687241583,1.0,0.8280199066211231,-0.226331655807276,-0.3639570153073357,0.15514011843159403,0.2539865809014384,0.5510544259565296,0.6882836043354336
vehicle_access_pct,0.0048549301254556905,-0.6967823041978713,0.8280199066211231,1.0,-0.20342530634239664,-0.4782268687328384,0.4331371224215781,0.45507762642781246,0.5921824519419135,0.6994757218083655
transit_stop_count,0.18754833531818216,0.21316128633732997,-0.226331655807276,-0.20342530634239664,1.0,0.6526225830923806,-0.5297136841062634,-0.49920869708719445,-0.23193428381509068,-0.1302317670780495
scheduled_trip_count,0.2901192291384459,0.5680890974136887,-0.3639570153073357,-0.4782268687328384,0.6526225830923806,1.0,-0.5924281621033003,-0.556881498281453,-0.5837058212507032,-0.4092312384867035
median_transit_distance_m,-0.3905363347995791,-0.4101217846435865,0.15514011843159403,0.4331371224215781,-0.5297136841062634,-0.5924281621033003,1.0,0.8982570479449253,0.5417281131139849,0.4484012876451692
median_network_transit_distance_m,-0.3138862655018146,-0.4531066669744335,0.2539865809014384,0.45507762642781246,-0.49920869708719445,-0.556881498281453,0.8982570479449253,1.0,0.5559569816045014,0.4778880619891688
food_access_beyond_half_mile_straight_share,-0.2352685929744723,-0.7492531835980345,0.5510544259565296,0.5921824519419135,-0.23193428381509068,-0.5837058212507032,0.5417281131139849,0.5559569816045014,1.0,0.9156525887823652
food_access_beyond_half_mile_network_share,-0.09194497701939411,-0.7114450568624536,0.6882836043354336,0.6994757218083655,-0.1302317670780495,-0.4092312384867035,0.4484012876451692,0.4778880619891688,0.9156525887823652,1.0
