feature,count,mean,std,min,median,max
median_gross_rent,25.0,1224.92,271.6394546698497,674.0,1214.0,1924.0
median_rent_burden_pct,25.0,34.756,11.76906538345335,9.0,35.8,51.0
median_household_income,25.0,84672.8,41432.954106604564,13994.0,84063.0,164412.0
vehicle_access_pct,25.0,88.18848509844764,12.952549311646004,51.517341040462426,94.93827160493827,100.0
transit_stop_count,25.0,12.44,12.110876654203581,0.0,8.0,35.0
scheduled_trip_count,25.0,853.68,727.0551744308451,0.0,716.0,2626.0
median_transit_distance_m,25.0,2488.7652901588326,3783.3473924816894,113.76691475280813,423.30965619703863,12405.773702775416
median_network_transit_distance_m,25.0,2826.9150090906164,4045.445740026847,164.94480775353333,639.3995087091012,13425.282917234292
food_access_beyond_half_mile_straight_share,25.0,59.05,35.01588532366417,0.0,61.01,100.0
food_access_beyond_half_mile_network_share,25.0,72.73479999999999,29.21786940669471,0.0,87.66,100.0
